Record ID,Input,Output,Feedback (Name: Result)
record_hash_af6e7f6eeb0d244a0e92597220f45d1f,"""Human: hello\nAI: Hi there! How are you today?""","""Hi there! How are you today?""",moderation_selfharm: None; maliciousness_with_cot_reasons: None; relevance: 1.0; moderation_hate: 3.828783519566059e-06; moderation_violence: 2.0288285668357275e-05
record_hash_567120bafa2c3f6e65fa37ff093a50fd,"""Human: hello\nAI: Hello! How are you today?""","""Hello! How are you today?""",relevance: 1.0; moderation_selfharm: 3.3914938057932886e-07; moderation_hate: 6.539676178363152e-06; moderation_violence: 1.1040207937185187e-05; maliciousness_with_cot_reasons: 0.0
record_hash_29105c1f8873f5df12f76f9ed6c5b374,"""Human: hello\nAI: Hello! How are you today?""","""Hello! How are you today?""",moderation_violence: 1.1040207937185187e-05; relevance: 1.0; moderation_selfharm: 3.3914938057932886e-07; moderation_hate: 6.539676178363152e-06; maliciousness_with_cot_reasons: 0.0
record_hash_43f84b050406df52f7063171e7978c75,"""Human: hello\nAI: Hello! How are you today?\nHuman: fine\nAI: That's great to hear! What can I assist you with today?""","""That's great to hear! What can I assist you with today?""",moderation_violence: 4.5886663428973407e-05; relevance: 1.0; moderation_selfharm: 3.610034127632389e-06; moderation_hate: 2.6712235921877436e-05; maliciousness_with_cot_reasons: 0.0
record_hash_5fd7cddbc37d33756bcc85c358a3fcb8,"{""human_input"": ""hello"", ""chat_history"": """"}","""Hi there! How are you today?""",
record_hash_afde72f1deaf1a75c6f0539163835015,"{""human_input"": ""hello"", ""chat_history"": """"}","""Hi there! How are you today?""",relevance: 0.8
record_hash_c43aaffd7fb165cd93e428630b05f1ed,"{""human_input"": ""hello"", ""chat_history"": """"}","""None""",relevance: 0.0
record_hash_acaf5d552db5b5bda6e081d7fd8605a9,"""hello""","""hello""",relevance: 1.0
record_hash_8415c9471f247686eec74284b72318a3,"""hello""","""hello""",relevance: 1.0
record_hash_5e4d389c6c6e9f60ea6600f0f7d5efd1,"[""hello""]","""Hi there! How are you today?""",relevance: 0.5
record_hash_96c4b37f5a0bf2e150231096b5410a16,"{""human_input"": ""hello"", ""chat_history"": """"}","""Hello! How are you today?""",relevance: 1.0
record_hash_f76f9c9744ccb8b73f83113ad475f2c0,"{""human_input"": ""hello"", ""chat_history"": """"}","""None""",relevance: 0.0
record_hash_ccb47b533e3b154c773ed93a707eb57b,"""hello""","""hello""",relevance: 1.0
record_hash_161fe37896d8cf5139f7cf8dd02a6c31,"""hello""","""hello""",relevance: 1.0
record_hash_8acb9b23bcc615b77605e771c2c87028,"[""hello""]","""Hello! How are you today?""",relevance: 1.0
record_hash_f7626210bfae7a048eeb87917bc5d076,"""Human: how are you\nAI: I'm just a chatbot, so I don't have feelings, but I'm here to help you! How can I assist you today?""","""I'm just a chatbot, so I don't have feelings, but I'm here to help you! How can I assist you today?""",relevance: 1.0; moderation_hate: 8.151691872626543e-05; moderation_violence: 2.3905446141725406e-05; coherence: 0.8; qs_relevance: 1.0; moderation_selfharm: 5.067510574008338e-05; helpfulness: 0.8; moderation_harassment: 0.001210461021400988; maliciousness_with_cot_reasons: 0.0
record_hash_6aeb70ecbf73da6831cf9aec9dd1b10a,"""Human: how are you\nAI: I'm doing great, thanks for asking! How about you?""","""I'm doing great, thanks for asking! How about you?""",moderation_violence: 3.1434330594493076e-05; relevance: 1.0; coherence: 0.8; qs_relevance: 1.0; moderation_selfharm: 1.1414776963647455e-05; moderation_hate: 3.246285632485524e-05; helpfulness: 0.8; moderation_harassment: 1.0167116670345422e-05; generate_score: -1.0; maliciousness_with_cot_reasons: 0.0
record_hash_5c16e8ca85c2cd200f8ed5d4f28ac53b,"""Human: how are you\nAI: I'm doing great, thanks for asking! How about you?\nHuman: how to say hi in arabic\nAI: The word \""hi\"" in Arabic is \""\u0645\u0631\u062d\u0628\u0627\"" (marhaba). Do you want to learn any other Arabic phrases?""","""The word \""hi\"" in Arabic is \""\u0645\u0631\u062d\u0628\u0627\"" (marhaba). Do you want to learn any other Arabic phrases?""",moderation_hate: 5.577609272222617e-07; generate_score: -1.0; relevance: 1.0; qs_relevance: 1.0; helpfulness: 0.8; moderation_violence: 1.5962654060786008e-06; coherence: 0.9; moderation_harassment: 7.543433639511932e-06; moderation_selfharm: 3.173165623593377e-07; maliciousness_with_cot_reasons: 0.0
record_hash_c461fd2d458535dd764cdf311e683092,"""Human: i want hello in french\nAI: Bonjour! How are you today?""","""Bonjour! How are you today?""",relevance: 1.0; moderation_violence: 1.4943866517569404e-05; qs_relevance: 1.0; generate_score: -1.0; moderation_harassment: 3.961481070291484e-06; moderation_hate: 7.303528946067672e-06; moderation_selfharm: 1.2386288972265902e-06; helpfulness: 0.0; coherence: 0.8; maliciousness_with_cot_reasons: 0.0
record_hash_23fa6b7ed768a544656cbf4ba574f059,"""Human: hello\nAI: Hey there! How's it going?""","""Hey there! How's it going?""",moderation_hate: 2.4225942979683168e-05; generate_score: -1.0; coherence: 0.8; moderation_violence: 4.8773756134323776e-05; qs_relevance: 1.0; helpfulness: 0.2; relevance: 1.0; moderation_harassment: 3.711956742336042e-05; moderation_selfharm: 5.871520443179179e-06; maliciousness_with_cot_reasons: 0.0
record_hash_9d86328ddc76891d9f3342055bb66a15,"""Human: hello\nAI: Hey there! How's it going?\nHuman: how are you in arabic\nAI: \""\u0643\u064a\u0641 \u062d\u0627\u0644\u0643\u061f\"" How are you? Do you speak any other languages?""","""\""\u0643\u064a\u0641 \u062d\u0627\u0644\u0643\u061f\"" How are you? Do you speak any other languages?""",
